source_id,name,operator,city,province_code,lat,lng,status,capacity_mw,expected_online_date,block_reason,block_reason_detail,source_url
estruxture-cal3,eStruxture CAL-3,eStruxture,Calgary,AB,50.984000,-113.956000,construction,90,2026-10-01,,,https://www.estruxture.com/hubfs/eStruxture_Datasheet_CAL3%20EN%20V1%202024.pdf
stack-tor01b,STACK TOR01B,STACK Infrastructure,Scarborough,ON,43.697920,-79.266240,construction,24,2026-06-01,,,https://www.stackinfra.com/about/news-press/press-releases/stack-infrastructure-delivers-first-phase-of-its-56mw-flagship-toronto-campus/
stack-tor01c,STACK TOR01C,STACK Infrastructure,Scarborough,ON,43.697920,-79.266240,construction,24,2027-01-01,,,https://www.stackinfra.com/locations/americas/toronto/tor01/
microsoft-ancienne-lorette,Microsoft Canada East L'Ancienne-Lorette,Microsoft,L'Ancienne-Lorette,QC,46.806000,-71.357000,construction,,2026-07-01,,,https://www.datacenterdynamics.com/en/news/microsoft-breaks-ground-on-data-center-in-quebec-city-canada/
microsoft-donnacona,Microsoft Canada East Donnacona,Microsoft,Donnacona,QC,46.677000,-71.729000,construction,,2026-09-01,,,https://finance.yahoo.com/news/microsoft-msft-build-multiple-data-133900567.html
microsoft-levis,Microsoft Canada East Lévis,Microsoft,Lévis,QC,46.676100,-71.325100,construction,,2026-12-01,,,https://finance.yahoo.com/news/microsoft-msft-build-multiple-data-133900567.html
microsoft-saint-augustin,Microsoft Canada East Saint-Augustin-de-Desmaures,Microsoft,Saint-Augustin-de-Desmaures,QC,46.745000,-71.466000,construction,,2027-06-01,,,https://finance.yahoo.com/news/microsoft-msft-build-multiple-data-133900567.html
mihta-askiy,Mihta Askiy Datacenter,Sovereign Digital Infrastructure / Woodland Cree FN,Peace River region,AB,56.500000,-116.800000,construction,650,2027-07-01,,,https://www.datacenterdynamics.com/en/news/woodland-cree-first-nation-to-develop-650mw-data-center-in-alberta-canada/
upper-nicola-bell,Upper Nicola Bell/iTel AI Data Centre,Bell Canada / iTel Networks,Merritt,BC,50.112600,-120.786600,construction,150,2027-06-01,,,https://www.merrittherald.com/upper-nicola-indian-band-vote-yes-on-welcoming-one-of-the-countrys-largest-ai-data-centres/
prophet-river-abct,Prophet River ABCT Pacific DC,ABCT Pacific (VCC) / Prophet River FN,Fort St. John area,BC,56.246700,-120.847000,announced,,2028-01-01,,,https://www.newswire.ca/news-releases/prophet-river-first-nation-and-abct-pacific-vcc-ltd-sign-loi-to-jointly-develop-major-data-centre-in-fort-st-john-area-819620927.html
bell-ai-fabric-bc,Bell AI Fabric BC Cluster (6 sites),Bell Canada,Kamloops,BC,50.674500,-120.327300,construction,500,2028-12-31,,,https://insidetowers.com/canada-welcomes-data-center-investment-from-bell-and-telus/
telus-ai-factory-bc,TELUS Sovereign AI Factory BC Network,TELUS,Vancouver,BC,49.282700,-123.120700,construction,150,2032-12-31,,,https://dailyhive.com/vancouver/vancouver-ai-data-centre-demonstration-march-telus
telus-ai-factory-kamloops,TELUS Sovereign AI Factory Kamloops,TELUS,Kamloops,BC,50.674500,-120.327300,construction,,2026-12-01,,,https://insidetowers.com/canada-welcomes-data-center-investment-from-bell-and-telus/
bell-saskatchewan-300mw,Bell 300MW Saskatchewan AI Campus,Bell Canada,Regina area,SK,50.445200,-104.618900,announced,300,2029-01-01,,,https://www.datacenterdynamics.com/en/news/canadas-bell-announces-300mw-data-center-campus-in-saskatchewan-names-coreweave-cerebras-as-customers/
george-gordon-bell,George Gordon FN Bell AI DC,Bell Canada / George Gordon FN,Regina,SK,50.445200,-104.618900,announced,,2028-01-01,,,https://www.cbc.ca/news/indigenous/george-gordon-data-centre-regina-9.7103258
transalta-brookfield-ab,TransAlta / CPP / Brookfield Alberta DC,TransAlta / CPP / Brookfield,Alberta,AB,51.044700,-114.071900,announced,230,2029-01-01,,,https://www.datacenterdynamics.com/en/news/transalta-cpp-brookfield-ink-mou-for-230mw-alberta-data-center-project/
cerebras-manitoba,Cerebras Manitoba AI Data Center,Cerebras Systems,Winnipeg,MB,49.895100,-97.138400,announced,,2028-01-01,,,https://www.datacenterdynamics.com/en/news/cerebras-plans-data-center-in-manitoba-canada/
prologis-toronto,Prologis Toronto Area Hyperscale,Prologis,Greater Toronto Area,ON,43.700000,-79.500000,announced,,2028-01-01,,,https://www.datacenterdynamics.com/en/news/prologis-files-to-develop-data-center-outside-toronto-canada/
